Rank,Destination AS,Organization,Number of ASes set prefix policy for it
1,AS20940,"Akamai International B.V.",349
2,AS16625,"Akamai Technologies, Inc.",337
3,AS13335,"Cloudflare, Inc.",337
4,AS54994,"QUANTIL NETWORKS INC",310
5,AS21433,"Accenture UK Limited",306
6,AS21859,"Zenlayer Inc",295
7,AS41264,"Google Switzerland GmbH",295
8,AS199524,"G-Core Labs S.A.",283
9,AS45102,"Hangzhou Alibaba Advertising Co.,Ltd.",278
10,AS15133,"MCI Communications Services, Inc. d/b/a Verizon Business",277
11,AS3573,"Accenture LLP",273
12,AS24429,"Hangzhou Alibaba Advertising Co.,Ltd.",273
13,AS61317,"Digital Energy Technologies Ltd.",271
14,AS42473,"ANEXIA Internetdienstleistungs GmbH",271
15,AS6621,"Hughes Network Systems",270
16,AS132203,"Shenzhen Tencent Computer Systems Company Limited",269
17,AS22363,"Powerhouse Management, Inc.",268
18,AS36224,"HCL AMERICA INC",267
19,AS11179,"Aryaka Networks, Inc.",265
20,AS55303,"Eagle Sky Co., Lt",262
21,AS16509,"Amazon.com, Inc.",260
22,AS12222,"Akamai Technologies, Inc.",256
23,AS51964,"ORANGE BUSINESS SERVICES U.S. Inc.",256
24,AS198949,"SECURITYDAM LTD",255
25,AS36040,"Google LLC",254
26,AS19551,"Incapsula Inc",254
27,AS10798,"The Standard Bank of South Africa (Proprietary) Limited",252
28,AS36408,"CDNetworks Inc.",249
29,AS27471,"Symantec Corporation",242
30,AS54119,"Boingo MDU LLC",242
31,AS4983,"Intel Corporation",241
32,AS54113,"Fastly",240
33,AS109,"Cisco Systems, Inc.",240
34,AS27983,"Red Intercable Digital S.A.",239
35,AS16477,"ACNIELSEN",239
36,AS12418,"Quantum CJSC",237
37,AS46071,"Pioneer Elabs Ltd.",237
38,AS19637,"Avago Technologies U.S. Inc.",236
39,AS33182,"HostDime.com, Inc.",235
40,AS12684,"SES ASTRA S.A.",234
41,AS45543,"SaiGon Tourist cable Televition Company",232
